id,Fecha,Título,Enlace,Fuente,Cobertura,Término,Adjetivos,Idioma,Sentimiento,Palabras Clave,Categoría,Dominio Limpio,Visitas_Mensuales,Reach estimado
0,2025-10-30,"Cierres y ajustes, plan de Nissan contra aranceles: Iván Espinosa, CEO de la compañía",https://news.google.com/rss/articles/CBMinwFBVV95cUxOaHBMUmlyREpFWDVuV0FJWm9sTzFPTnhsUHlqNFY5QlFxQUdDbmJaRGlWNWdodzJmZ0F1Vk9BVTVZMzRVaXg5eWdELS1ZY1d5VjhzaWF2UGNQRmdXRUhEcGNvYU1TQ3VJaUpFV0FMNVdFVzVFYzc1RG50b3FkaU5ZZTBWNV9qbWQ4LXRJeVZkZENQNW02dld0TzhnSndpd2fSAZ8BQVVfeXFMTXN5amI0Um9Uc0xnSGhDeFN6NDFlVEh0cUVUMmI5OXF3bERjYkdTM2JlTGszX1FrczBhOElELVJoMXFvT2VBMEd0RUdZajlEaUZ2ODlQMXZFYXM4Ymp3eExGZVdrZFdGVmhBU0lJVkF0ZksxNnNQN1NRZ196SkhsNXF4LXU2TkxWbGxCQTk0S041WU9yMkFjTTZyTTU2ZlRF?oc=5,milenio.com,Nacional,Aranceles,[],Español,Neutral,"aranceles, arancel",Economía,milenio.com,21118000.0,25288.58266
1,2025-10-30,Cumbre Trump-Xi Jinping tiene ‘efecto inmediato’: EU reduce aranceles por fentanilo a China al 10%,https://news.google.com/rss/articles/CBMi6AFBVV95cUxOdnR3LWo4eDhJbGVZbWxkWkE3QzFKa21aY21CWEpFZVllMVpKYzdGckNwLVkxWmdSc2hNS3FxQlp4RUpsV2QtZFRwMU1Ta3M1MXQyTEtROE0tMTU3VGRFOFlTT1J4YjVxai1yUkw3TDkxTXh1aXh3ZWhOMGdVYTJiT0R1Y0VIa091RlQybnNLLS0yeGZSRjlmSW10T3FicVdPSGk4c2F2a1M3cGlrZW8tWHFmX3d3NGVUaUFEX1BvX2F3OGVjYVFpTVozajdLaWw5YjNldExXTHIzdXlDWWNYYTF3NDhGUmF6?oc=5,elfinanciero.com.mx,Estados Unidos,Aranceles,['inmediato'],Español,Positiva,"aranceles, arancel, fentanilo","Exterior, Seguridad, Economía",elfinanciero.com.mx,27270000.0,24038.51625
2,2025-10-30,Donald Trump y Xi Jinping alcanzaron un acuerdo sobre tierras raras y la reducción de aranceles en su reunión en Corea del Sur,https://news.google.com/rss/articles/CBMiggJBVV95cUxNWFdGRlFFZ3Y3djhXUVMzQUdMRGttSDBrR0FYbU9BVXRVSGFqVVB6WFpsX3V4TjFneWRuOUtETlZ0bWoyWVI1Q21yTVlreXpuNmxIMXBEa2ZKN1NoMHZlZVlYY1ZxNlNLdDNuUW1PVXBEZElQX2RzNmwxRjRxNjk0VU1BQ2JKWGRmVERtSFpyZlRVX1ZENVhmRnRjRzM3d3VhTlpMajJBakFuN21SV1ZYdmo2TmJCdlhseHFZWEVYbklLZm81QzdMU3JsQ01FWWRCWFBnNTZweHg0N19obzJ6eVhOSkhLeGh0aUkxNFZoR2V1RGx3Mld0LXpnZU5raHFzR1E?oc=5,infobae.com,Asia,Aranceles,['raras'],Español,Positiva,"aranceles, arancel","Exterior, Economía",infobae.com,43217020.0,29979.00462
3,2025-10-30,El Senado de Estados Unidos vota para bloquear los aranceles a Canadá y Brasil,https://news.google.com/rss/articles/CBMixgFBVV95cUxNLV95RDNLV1BVc05CY1l6VzlxM2ZqQkFsdGxGYXZuV0RlQTEtTjhnWGVOSkdmZExlTEZzOHdCTGpHcy1pYUVRU2x6Q0VEZlFLeVN0TWtGeDdJdU83b2JOUEZ1cElSWnVNY0poUWJabkk4YWFGald5TkxUd0Q1X0hFVGRDNWNRZ1h3d2p3ZHVwMUdWeEs0aFYzblhFeXIzN1dhRFVzSUs5UWFRTjI4TG4yZl9LZG9mM2xlS1hYOGZqUkJHaGF4MkHSAdoBQVVfeXFMTXl6M3FiNUdYbGRYa2w4R004elp6R084UU5BSFQ5NHZydUdSTHlSVFBDRlNiaTJoQm5UZDhLNC0yWjhEcnl3V25FRU50TFVYN1plcVl0MENXM3NHRVdnVU4xX21lT0ZiNFpPY3dId1h4SUNXOGVZaGlfdDJqNGZpajl4eEszeUloYV9ZNlpJcGZxNWtvOTV2Y3ZNREVOQXpZdlNDLTh2bTA4M2Ezb0tESzBKVkZub1JiTGI1dDladVBkWWNIWGMwMUpBTDhTcUtYQVhCN3AwM0xsdXc?oc=5,elpais.com,Canadá,Aranceles,[],Español,Neutral,"aranceles, arancel","Exterior, Economía, Interior",elpais.com,12543910.0,9886.670609
4,2025-10-30,"Empresas protegen a compradores tras aranceles y absorben costos, pero no por mucho tiempo",https://news.google.com/rss/articles/CBMingFBVV95cUxNNUJIOElzUnV2MjFhQlgwX2xtZU5tYmRFbVZMUmhkSTRiVXBpVDJsNGFoXy1nbDVNNzg1dlVfQ2tMVkpYb1RvQXJCZ2ZQWjgwMmc0Q2N0d0tLcVY3SmxnTHhmVlIzVmxxM2NWUjJTa0tjY0V4V1lpTkpvQUZNd1Izblg0R1I3ckZJTlg3N0RLWjBNQjVuMGZKWXlPWXhad9IBngFBVV95cUxNaXFNUXZlWVN6UTBERldTdldtR1B1dmp0dEpiemNiSEJxTU9ERXVwRndNZEdHQkVaUC1lZ0hwMmJsMjNZRHByNTQzVmxIT0doQ3UxMlozRlU3d3V3ZGxXbDl0eTVqS3NHcFBlQm1OSDhQWGdlbHFhbWpQQm5FTDZfYjY0S3BNMktkejdOMzNZemJZS3lySXhBdEtXMnVPdw?oc=5,milenio.com,Estados Unidos,Aranceles,[],Español,Neutral,"aranceles, arancel",Economía,milenio.com,21118000.0,17862.12407
5,2025-10-30,"Exención de aranceles a México abre puerta a relación bilateral en el T-MEC, señala economista",https://news.google.com/rss/articles/CBMi5wFBVV95cUxPOWlJaW5wd28zSzl5cm9qQmMxeVEwMjNQSHVBT05oaklvWUNsYW5RVUlXY0FEYnlUU2ZzdDJWYlJKVDFTaU1wZ09LTWphblJYSElKUGNzbG5oUExheHdhVlhHbXpoYi1GNXBHejk3WEZNU2NtaUJ2Z3lLNTlVRHNORWhjbUg3ZF9OQUM3UTMyT3I1ZElwSFMyejZOcVlLZ0hGOTlGZWtXbjgza0FoX0VKUFE4LTBuU3l1WmZKSDBhanlVN3NjcUZoNkRPOFhwYkFxcEtCT0Joa3pKMkdMdmJCbWlLQW5RaUXSAewBQVVfeXFMUEN6ZkhNWmtCMkEyQmtuaVZYRUMyc2R4MGZub0hqNHNvRGQtTXh0NlVEa2Izci1FYzFVRE5adW9wV2pXVUROWktXSGFJWnVneDAtNGd2anU5RGhxQ3podjVVeWZLeWRtSUFSRFo0Rlh4Wnd4VVNDdEtkTUNYUkkyczg1cnQwbTY4c1RqUGhJWnZLYUpOWWM0bms3dUZ5dExOZXd6YTRyNy10cnUwVUU0NnREWml3M2I5UkFSV05TUjdjZ2xXSkZtdVlQeU1LYzlVaXhRaE1GSU5vVEdKYzhZbmpVX0pMTVlXN1hvUDc?oc=5,informador.mx,Nacional,Aranceles,['bilateral'],Español,Neutral,"aranceles, arancel","Exterior, Economía",informador.mx,12670000.0,7999.458823
6,2025-10-30,Exnegociador comercial de Trump urge no reducir aranceles a China ni ceder tecnología sensible,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNMTduTjN0NDRTbTg3RGFjRGh5Q09BaTVXSmd1ZTBGU3h4cE5UN3lIelVrTVlqOGs2enhtOTZEUUYyNEZXcWxFWFpYcFR6b09Ia2hndzNvemVJdTl3c0RfRncxSUFSSjF6c3ZQSWhiOVpCRzJLOHhoeWFCdzV4MXRBdU9uVDc1WGpEcFNMZ3hrOHM2ZjNweGFFUjVXM04tb2RjVHZNREZBZTlmdzROQWZTLWdjbWVfZEhOV19XSjI1SHhabDZwTzlSc0NHeGtQa0EzQm9SRHFKRF82TjlSUm0tRdIB9AFBVV95cUxPN2JzUDlqb3RjeUhVemFKMjRGZTdaVnpUNXA1cGQ0WXF5LUtmdHdJRndDZktoVzh5a0NUSVJBRU1iV1Z1czlTYUxrQ0VacUtkVWVycTdhZ2dRZi03X29ha1JETHYtblk2QWQtWlpHZHJSbTJWNEN3TGJDUTZZdTRYTi1MMDRKMEtTOHdOT1cxRnk0b2lMWDFEdXJVME9Id042TldNa0c3cUJVekQtbmMxWGFLR3VOTHNiMHJJX3V3Wjd2Q29ndWpCaHVNdENSdFBRRm42RkhvTVNrSjFseXljbENyaVYwOHAzMl9KdjZUc0ZnX2RB?oc=5,bloomberglinea.com,Estados Unidos,Aranceles,"['comercial', 'sensible']",Español,Neutral,"aranceles, arancel","Exterior, Economía",bloomberglinea.com,,
7,2025-10-30,"Nissan prevé pérdidas de 1,800 millones de dólares por aranceles y problemas de suministro",https://news.google.com/rss/articles/CBMi0wFBVV95cUxOQ2pxYTVvbXY0cEVMMXMweUlCdUpxLVVhMGJWd0kzRjk0c0FNcVhLSjE5ZUFrOF8ySXBtdWxmck9OTDN6OFFiYmd6QmNzOVBRbTN5aXlWVjRYRUE2SW1kQ0xiYzJSVlIxaW4zdzNra0JUdW9Pck5EbFhaYndRc2Z4VU8yNllBeWVFU1JhYkh4VnI1VTd1Y24zcWxLVXpqT1BvUnFEeTZ6azB0TFlqcWhIYXVJSzNUOGp6Vno5LUJWRWRXTmlhYTkxZGZ0M21KdFBITVNB0gHYAUFVX3lxTFBWSVRJRWNTaWxQeHk0amFwd0NwRmpkVHROUkNlZEdsa0V4bnlNV1BZY2JNZXlWTDhZV2Z6RUowdlVqNUtON1hwdC1FMTVmVDNkWDVMdXdSTzkyb0dVOHNqZHFDMFhzMTljb2hTbnJiQ2Z5ekVnUXhBUUtqYnRCQ2FLNnlHNWJBZWRwajEzeDBFT0tQREtHdEt0YXV6eFpoaFV5UUZtSEI1RldMaTNNM3RHSEljTGdzaThleFBTbUJ0SjJEbWhRdEpxTTZyeDJWLW9jcWdzS0RzbA?oc=5,eleconomista.com.mx,Estados Unidos,Aranceles,[],Español,Negativa,"problema, aranceles, arancel",Economía,eleconomista.com.mx,7531000.0,4560.24541
8,2025-10-30,"Resuelta, la disputa con China: Trump; baja los aranceles",https://news.google.com/rss/articles/CBMirgFBVV95cUxPbHBmS0EzcklxWEctZHFTTjdaYk90RWNrTkExbUdKOEtYenNyeTRKNEpEWHNIcktxdmoxZkktSmVzNEpZbWVyOTVXeGxWdUlMSHlVQUI0bWNoLWxGeHpIOUd4OWoxd1FuM1ZsbUMyYkRjbC1Qc2VselB1ZmR5d1BmbXM2Vmlpc2RaektTQTNqOFJNUkdDVVdwTUYyZDNWU0NxQkhxQkpKNlo5bkZ2Z2c?oc=5,jornada.com.mx,Estados Unidos,Aranceles,[],Español,Positiva,"aranceles, arancel","Exterior, Economía",jornada.com.mx,9958000.0,7801.384802
9,2025-10-30,"Reunión de Trump y Xi Deja Acuerdos en Aranceles, Fentanilo, Tierras Raras y Paz en Ucrania",https://news.google.com/rss/articles/CBMisgFBVV95cUxPRXNVUUtOWTUxeG53Ry11WVRTRmYtZXZRb2hTVzd4eUNuREFzRlA2dTJ1UmZCTGt0empucjNiV0RjTjRMVEpRbzhDckJib3JwSkZmYTgzZjJNM0Z2R1lhMVpkSl8wZjRyaW1fWUpxUllvODJ0Q2xQZXdnaDJYUXkycVoyUmhIb1RzVEtENVRjYUdKbC1zY0JCWlpQcF9NRHVWdnYzZmk5VFpWZnd4OV9jdVNB?oc=5,nmas.com.mx,Asia,Aranceles,[],Español,Positiva,"aranceles, arancel, fentanilo","Exterior, Seguridad, Economía",nmas.com.mx,20380000.0,21612.28677
